sno,district_code,district_name_eng,district_name_kan,state_code,state_name_eng,state_name_kan,short_name_district,district_census_2001_code,district_census_2011_code
1,524,BAGALKOTE,????????,29,KARNATAKA,???????,BAG,2,556
2,528,BALLARI,???????,29,KARNATAKA,???????,BLL,12,565
3,527,BELAGAVI,???????,29,KARNATAKA,???????,BLG,1,555
4,526,BENGALURU RURAL,???????? ?????????,29,KARNATAKA,???????,BRR,21,583
5,525,BENGALURU URBAN,????????,29,KARNATAKA,???????,BUR,20,572
6,529,BIDAR,??????,29,KARNATAKA,???????,BDR,5,558
7,531,CHAMARAJANAGARA,?????????,29,KARNATAKA,???????,CHJ,27,578
8,630,CHIKKABALLAPURA,?????????????,29,KARNATAKA,???????,CHB,19,582
9,532,CHIKKAMAGALURU,???????????,29,KARNATAKA,???????,CKM,17,570
10,533,CHITRADURGA,??????????,29,KARNATAKA,???????,CTR,13,566
11,534,DAKSHINA KANNADA,?????? ?????,29,KARNATAKA,???????,DKD,24,575
12,535,DAVANGERE,????????,29,KARNATAKA,???????,DAV,14,567
13,536,DHARWAD,??????,29,KARNATAKA,???????,DRW,9,562
14,537,GADAG,???,29,KARNATAKA,???????,GDG,8,561
15,539,HASSAN,????,29,KARNATAKA,???????,HAS,23,574
16,540,HAVERI,??????,29,KARNATAKA,???????,HAV,11,564
17,538,KALABURAGI,???????,29,KARNATAKA,???????,KLB,4,579
18,541,KODAGU,?????,29,KARNATAKA,???????,KDG,25,576
19,542,KOLAR,?????,29,KARNATAKA,???????,KLR,19,581
20,543,KOPPAL,??????,29,KARNATAKA,???????,KPL,7,560
21,544,MANDYA,?????,29,KARNATAKA,???????,MDY,22,573
22,545,MYSURU,??????,29,KARNATAKA,???????,MYS,26,577
23,546,RAICHUR,???????,29,KARNATAKA,???????,RCH,6,559
24,631,RAMANAGARA,??????,29,KARNATAKA,???????,RAM,21,584
25,547,SHIVAMOGGA,????????,29,KARNATAKA,???????,SVM,15,568
26,548,TUMAKURU,???????,29,KARNATAKA,???????,TMK,18,571
27,549,UDUPI,?????,29,KARNATAKA,???????,UDU,16,569
28,550,UTTARA KANNADA,????? ?????,29,KARNATAKA,???????,UKD,10,563
29,738,VIJAYANAGAR,???????,29,KARNATAKA,???????,VJN,0,0
30,530,VIJAYAPURA,????????,29,KARNATAKA,???????,VJP,3,557
31,635,YADGIR,???????,29,KARNATAKA,???????,YDG,4,580
